var1,var2,chi2,p_value,dof,cramers_v
what_gender_do_you_identify_as,your_highest_education_level,5.5213,0.5966,7,0.2282
what_gender_do_you_identify_as,your_current_employment_status,4.2001,0.2407,3,0.1991
what_gender_do_you_identify_as,where_do_you_currently_reside,47.3898,0.6555,52,0.6718
what_gender_do_you_identify_as,please_specify_your_native_place,51.2616,0.7221,58,0.6954
what_gender_do_you_identify_as,have_you_ever_heard_of_cases_where_men_were_sexually_abused,0.3631,0.5468,1,0.0585
what_gender_do_you_identify_as,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,22.2364,0.1357,16,0.4602
what_gender_do_you_identify_as,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,20.7436,0.2925,18,0.4424
what_gender_do_you_identify_as,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,0.9742,0.6144,2,0.0959
what_gender_do_you_identify_as,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,30.2822,0.6952,35,0.5345
what_gender_do_you_identify_as,men_who_report_sexual_abuse_are_not_taken_seriously,2.6453,0.6188,4,0.158
what_gender_do_you_identify_as,fear_of_social_judgment_stops_male_victims_from_coming_forward,0.2521,0.9688,3,0.0488
what_gender_do_you_identify_as,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,3.2068,0.5238,4,0.1739
what_gender_do_you_identify_as,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,2.549,0.6359,4,0.1551
what_gender_do_you_identify_as,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,6.0074,0.1986,4,0.2381
what_gender_do_you_identify_as,are_you_aware_of_any_legal_protections_for_male_victims_in_india,1.5395,0.4631,2,0.1205
what_gender_do_you_identify_as,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,7.4025,0.1161,4,0.2643
what_gender_do_you_identify_as,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,2.1722,0.3375,2,0.1432
what_gender_do_you_identify_as,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,28.4005,0.0126,14,0.5176
what_gender_do_you_identify_as,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,2.4289,0.6574,4,0.1514
what_gender_do_you_identify_as,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,97.2806,0.5015,98,0.9625
what_gender_do_you_identify_as,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,22.0054,0.1077,15,0.4556
what_gender_do_you_identify_as,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,0.4704,0.7904,2,0.0666
what_gender_do_you_identify_as,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,0.8171,0.6646,2,0.0878
your_highest_education_level,your_current_employment_status,56.4214,0.0,21,0.4212
your_highest_education_level,where_do_you_currently_reside,407.865,0.056,364,0.7449
your_highest_education_level,please_specify_your_native_place,585.1052,0.0,406,0.888
your_highest_education_level,have_you_ever_heard_of_cases_where_men_were_sexually_abused,16.6411,0.0199,7,0.3962
your_highest_education_level,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,106.3548,0.2207,96,0.4109
your_highest_education_level,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,117.5495,0.6923,126,0.398
your_highest_education_level,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,8.4397,0.8652,14,0.1995
your_highest_education_level,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,346.905,0.0,245,0.6838
your_highest_education_level,men_who_report_sexual_abuse_are_not_taken_seriously,28.4919,0.4386,28,0.2592
your_highest_education_level,fear_of_social_judgment_stops_male_victims_from_coming_forward,27.7158,0.1484,21,0.2952
your_highest_education_level,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,28.3675,0.4451,28,0.2587
your_highest_education_level,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,19.5303,0.881,28,0.2146
your_highest_education_level,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,51.4416,0.0044,28,0.3483
your_highest_education_level,are_you_aware_of_any_legal_protections_for_male_victims_in_india,11.3645,0.6572,14,0.2315
your_highest_education_level,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,19.7954,0.8718,28,0.2161
your_highest_education_level,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,23.6751,0.0501,14,0.3342
your_highest_education_level,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,69.6914,0.9864,98,0.3065
your_highest_education_level,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,39.807,0.0688,28,0.3064
your_highest_education_level,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,677.2785,0.5865,686,0.9599
your_highest_education_level,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,231.5066,0.0,105,0.5586
your_highest_education_level,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,11.7788,0.6241,14,0.2357
your_highest_education_level,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,19.5358,0.1455,14,0.3036
your_current_employment_status,where_do_you_currently_reside,174.653,0.1459,156,0.7446
your_current_employment_status,please_specify_your_native_place,175.4602,0.4547,174,0.7428
your_current_employment_status,have_you_ever_heard_of_cases_where_men_were_sexually_abused,5.1841,0.1588,3,0.2211
your_current_employment_status,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,48.166,0.4661,48,0.391
your_current_employment_status,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,50.7462,0.6007,54,0.3995
your_current_employment_status,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,12.0627,0.0606,6,0.2385
your_current_employment_status,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,102.1098,0.5617,105,0.5667
your_current_employment_status,men_who_report_sexual_abuse_are_not_taken_seriously,4.8218,0.9637,12,0.1231
your_current_employment_status,fear_of_social_judgment_stops_male_victims_from_coming_forward,5.6026,0.7789,9,0.1327
your_current_employment_status,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,12.6963,0.3915,12,0.1998
your_current_employment_status,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,12.4051,0.4137,12,0.1975
your_current_employment_status,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,10.3119,0.5886,12,0.1801
your_current_employment_status,are_you_aware_of_any_legal_protections_for_male_victims_in_india,7.1147,0.3104,6,0.1832
your_current_employment_status,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,7.4461,0.8268,12,0.153
your_current_employment_status,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,6.5663,0.3628,6,0.176
your_current_employment_status,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,42.5446,0.4475,42,0.3658
your_current_employment_status,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,8.8781,0.7133,12,0.1671
your_current_employment_status,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,275.8179,0.7698,294,0.9357
your_current_employment_status,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,61.5176,0.0512,45,0.4398
your_current_employment_status,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,24.3609,0.0004,6,0.339
your_current_employment_status,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,4.1257,0.6597,6,0.1395
where_do_you_currently_reside,please_specify_your_native_place,3422.5534,0.0,2964,0.7917
where_do_you_currently_reside,have_you_ever_heard_of_cases_where_men_were_sexually_abused,65.1237,0.1045,52,0.7875
where_do_you_currently_reside,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,737.6539,0.9916,832,0.6658
where_do_you_currently_reside,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,999.6917,0.0728,936,0.7273
where_do_you_currently_reside,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,89.8705,0.8367,104,0.6542
where_do_you_currently_reside,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,2021.1579,0.0006,1820,0.7416
where_do_you_currently_reside,men_who_report_sexual_abuse_are_not_taken_seriously,206.0104,0.526,208,0.7004
where_do_you_currently_reside,fear_of_social_judgment_stops_male_victims_from_coming_forward,204.3651,0.0056,156,0.8055
where_do_you_currently_reside,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,265.5231,0.0043,208,0.7951
where_do_you_currently_reside,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,231.5964,0.1254,208,0.7426
where_do_you_currently_reside,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,231.0566,0.1306,208,0.7417
where_do_you_currently_reside,are_you_aware_of_any_legal_protections_for_male_victims_in_india,106.2191,0.4212,104,0.7112
where_do_you_currently_reside,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,222.5,0.2334,208,0.7278
where_do_you_currently_reside,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,118.2979,0.1599,104,0.7505
where_do_you_currently_reside,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,740.5912,0.3648,728,0.7098
where_do_you_currently_reside,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,254.9117,0.0147,208,0.7791
where_do_you_currently_reside,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,4981.6,0.3618,4947,0.9691
where_do_you_currently_reside,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,809.8646,0.2226,780,0.7171
where_do_you_currently_reside,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,120.2344,0.1319,104,0.7567
where_do_you_currently_reside,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,99.8097,0.598,104,0.6894
please_specify_your_native_place,have_you_ever_heard_of_cases_where_men_were_sexually_abused,66.2333,0.2141,58,0.7905
please_specify_your_native_place,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,930.5671,0.3273,912,0.7443
please_specify_your_native_place,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,1120.3986,0.0497,1044,0.7663
please_specify_your_native_place,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,133.1787,0.1314,116,0.7926
please_specify_your_native_place,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,2218.7,0.002,2030,0.7733
please_specify_your_native_place,men_who_report_sexual_abuse_are_not_taken_seriously,151.05,1.0,232,0.5969
please_specify_your_native_place,fear_of_social_judgment_stops_male_victims_from_coming_forward,132.0041,0.9924,174,0.6443
please_specify_your_native_place,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,184.3562,0.9907,232,0.6594
please_specify_your_native_place,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,269.2852,0.0468,232,0.7969
please_specify_your_native_place,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,196.8683,0.9545,232,0.6814
please_specify_your_native_place,are_you_aware_of_any_legal_protections_for_male_victims_in_india,114.004,0.535,116,0.7333
please_specify_your_native_place,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,176.738,0.9972,232,0.6456
please_specify_your_native_place,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,76.1848,0.9984,116,0.5995
please_specify_your_native_place,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,809.6687,0.5165,812,0.7386
please_specify_your_native_place,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,189.7792,0.9804,232,0.669
please_specify_your_native_place,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,5530.0,0.7003,5586,0.9612
please_specify_your_native_place,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,891.5891,0.2983,870,0.7488
please_specify_your_native_place,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,83.6387,0.9898,116,0.6281
please_specify_your_native_place,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,105.0212,0.7583,116,0.7038
have_you_ever_heard_of_cases_where_men_were_sexually_abused,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,32.03,0.0099,16,0.5523
have_you_ever_heard_of_cases_where_men_were_sexually_abused,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,34.4694,0.011,18,0.5702
have_you_ever_heard_of_cases_where_men_were_sexually_abused,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,1.3314,0.5139,2,0.1121
have_you_ever_heard_of_cases_where_men_were_sexually_abused,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,34.4969,0.4922,35,0.5705
have_you_ever_heard_of_cases_where_men_were_sexually_abused,men_who_report_sexual_abuse_are_not_taken_seriously,14.5771,0.0057,4,0.3708
have_you_ever_heard_of_cases_where_men_were_sexually_abused,fear_of_social_judgment_stops_male_victims_from_coming_forward,6.4263,0.0926,3,0.2462
have_you_ever_heard_of_cases_where_men_were_sexually_abused,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,6.5429,0.1621,4,0.2484
have_you_ever_heard_of_cases_where_men_were_sexually_abused,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,2.0827,0.7206,4,0.1402
have_you_ever_heard_of_cases_where_men_were_sexually_abused,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,10.917,0.0275,4,0.3209
have_you_ever_heard_of_cases_where_men_were_sexually_abused,are_you_aware_of_any_legal_protections_for_male_victims_in_india,0.018,0.9911,2,0.013
have_you_ever_heard_of_cases_where_men_were_sexually_abused,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,1.9888,0.7378,4,0.137
have_you_ever_heard_of_cases_where_men_were_sexually_abused,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,2.7025,0.2589,2,0.1597
have_you_ever_heard_of_cases_where_men_were_sexually_abused,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,22.2243,0.0741,14,0.4579
have_you_ever_heard_of_cases_where_men_were_sexually_abused,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,26.2361,0.0,4,0.4975
have_you_ever_heard_of_cases_where_men_were_sexually_abused,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,105.0,0.296,98,1.0
have_you_ever_heard_of_cases_where_men_were_sexually_abused,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,36.7872,0.0014,15,0.5891
have_you_ever_heard_of_cases_where_men_were_sexually_abused,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,0.5492,0.7599,2,0.072
have_you_ever_heard_of_cases_where_men_were_sexually_abused,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,0.3251,0.85,2,0.0554
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,295.7312,0.3643,288,0.4196
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,25.1718,0.799,32,0.3462
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,543.3633,0.6852,560,0.5687
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,men_who_report_sexual_abuse_are_not_taken_seriously,48.8778,0.9191,64,0.3411
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,fear_of_social_judgment_stops_male_victims_from_coming_forward,62.5206,0.0777,48,0.4455
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,72.4331,0.2197,64,0.4153
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,53.6286,0.819,64,0.3573
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,53.0838,0.833,64,0.3555
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,are_you_aware_of_any_legal_protections_for_male_victims_in_india,26.6131,0.7359,32,0.356
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,52.6782,0.843,64,0.3542
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,22.7386,0.8864,32,0.3291
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,207.2246,0.7828,224,0.3755
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,74.7484,0.1686,64,0.4219
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,1595.8277,0.2144,1552,0.9793
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,186.9336,0.9661,224,0.3566
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,26.2942,0.7504,32,0.3539
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,32.7543,0.4298,32,0.3949
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,34.0303,0.5626,36,0.4007
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,684.1431,0.0665,630,0.5988
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,men_who_report_sexual_abuse_are_not_taken_seriously,65.5523,0.6908,72,0.3932
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,fear_of_social_judgment_stops_male_victims_from_coming_forward,62.9255,0.1897,54,0.4448
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,65.4693,0.6934,72,0.3929
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,69.2556,0.5698,72,0.4042
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,80.3705,0.2335,72,0.4354
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,are_you_aware_of_any_legal_protections_for_male_victims_in_india,41.8127,0.233,36,0.4441
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,73.9588,0.414,72,0.4176
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,82.7487,0.0,36,0.6248
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,328.7249,0.0008,252,0.4707
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,62.8264,0.7714,72,0.3849
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,1715.0,0.7943,1764,0.9526
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,344.4709,0.0015,270,0.4655
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,39.423,0.3194,36,0.4312
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,35.7198,0.4818,36,0.4105
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,59.3485,0.8141,70,0.5291
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,men_who_report_sexual_abuse_are_not_taken_seriously,8.8036,0.3591,8,0.2038
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,fear_of_social_judgment_stops_male_victims_from_coming_forward,12.3024,0.0556,6,0.2409
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,10.6087,0.2249,8,0.2237
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,16.6152,0.0344,8,0.28
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,5.8115,0.6683,8,0.1656
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,are_you_aware_of_any_legal_protections_for_male_victims_in_india,2.0219,0.7317,4,0.0977
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,4.825,0.7761,8,0.1509
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,3.4524,0.4851,4,0.1276
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,26.9771,0.5195,28,0.3567
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,5.1269,0.7439,8,0.1555
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,198.2469,0.4417,196,0.9716
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,36.4529,0.1936,30,0.4147
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,2.0866,0.7198,4,0.0992
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,4.6138,0.3293,4,0.1475
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,men_who_report_sexual_abuse_are_not_taken_seriously,136.2254,0.5744,140,0.5668
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,fear_of_social_judgment_stops_male_victims_from_coming_forward,80.5655,0.9634,105,0.5033
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,122.7577,0.8498,140,0.5381
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,130.4827,0.7061,140,0.5547
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,89.2584,0.9997,140,0.4588
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,are_you_aware_of_any_legal_protections_for_male_victims_in_india,77.2679,0.2578,70,0.6037
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,117.7836,0.9138,140,0.5271
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,63.3009,0.7014,70,0.5464
