,what_gender_do_you_identify_as,your_highest_education_level,your_current_employment_status,where_do_you_currently_reside,please_specify_your_native_place,have_you_ever_heard_of_cases_where_men_were_sexually_abused,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,men_who_report_sexual_abuse_are_not_taken_seriously,fear_of_social_judgment_stops_male_victims_from_coming_forward,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,are_you_aware_of_any_legal_protections_for_male_victims_in_india,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up
what_gender_do_you_identify_as,1.0,0.22822825374844818,0.1990570789669225,0.6718121634026314,0.6954133854212418,0.05852358002357598,0.46018998109984555,0.44237395939093394,0.09586849855788228,0.5344917897202655,0.15797230095637332,0.04876657354394644,0.17393440446186212,0.15507238878952834,0.23806208000766485,0.12051489869245312,0.26426348033256686,0.14315069604200847,0.5176191919707048,0.15137521058806747,0.9625391526608678,0.455629664296669,0.06661882910676807,0.08779690101794824
your_highest_education_level,0.22822825374844818,1.0,0.4212192690487702,0.7449284237410356,0.8880042180326617,0.39622157744731346,0.41087371608221734,0.39802331824952675,0.19952474063933848,0.6837594003206958,0.25922534646254736,0.29522272653092674,0.2586589736998191,0.21462059300054576,0.3483167239969148,0.2315295783959394,0.21607233649406649,0.33417840063582693,0.30646982036878884,0.3064058221654084,0.959930885337689,0.5585727237502504,0.23571256184262182,0.30356186226001736
your_current_employment_status,0.19905707896692248,0.4212192690487702,1.0,0.7446167224183157,0.7428065219619585,0.22114921011339214,0.3910343162872477,0.3994736262528768,0.2385364000096826,0.5666569404705297,0.12313742241751155,0.1327331233390797,0.19981372605964592,0.1975087557294915,0.18007628848059035,0.1831929871895572,0.1530213636872894,0.17599126427528886,0.3657705465970066,0.16708827647648844,0.9357417034697854,0.4398312410395352,0.33898339639979863,0.13950243264106904
where_do_you_currently_reside,0.6718121634026314,0.7449284237410356,0.7446167224183157,1.0,0.7917330898068691,0.7875440904764915,0.6658089830056974,0.7272808142009137,0.6541823711961696,0.7416029468071348,0.7003576639378689,0.8054676956117123,0.7951087057057231,0.7425766736471663,0.7417107105037345,0.7111998628270032,0.7278473769595836,0.7505486004390882,0.7097912041973714,0.7790588525802319,0.9691314081560405,0.7170772373951362,0.7566667977763679,0.6894087711457765
please_specify_your_native_place,0.6954133854212416,0.8880042180326617,0.7428065219619585,0.7917330898068691,1.0,0.790469562979353,0.7442506237104313,0.7662969273021467,0.7925915755547935,0.773325517833439,0.5968669132206691,0.6442880684190225,0.6593954018266525,0.7969357843393157,0.6814045275587144,0.7333174579221997,0.6456275681802852,0.5994681534715092,0.7386466403642453,0.6690235840347708,0.9612370197756299,0.7488310088049771,0.6281099780469537,0.7038345609112195
have_you_ever_heard_of_cases_where_men_were_sexually_abused,0.05852358002357598,0.39622157744731346,0.22114921011339214,0.7875440904764915,0.7904695629793529,1.0,0.5523108281204584,0.5702480473373966,0.11207282034997211,0.5704754865625176,0.3708368555019739,0.24622182535680215,0.2484451686032984,0.1401713612458351,0.3209218725656296,0.013019568935851204,0.1369739950909112,0.15967111653922852,0.4578904309734468,0.49750410468657347,0.9999999999999999,0.5891086177809733,0.07197689008595679,0.055378939321406924
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,0.46018998109984555,0.4108737160822173,0.3910343162872477,0.6658089830056974,0.7442506237104313,0.5523108281204583,1.0,0.41955987227092556,0.346215951811533,0.5687095528963405,0.341138756177895,0.44550884898035553,0.4152828580067392,0.3573333500804745,0.35551369081417333,0.35599007568208946,0.35415288664733674,0.32905755633314243,0.3754585378610894,0.42186779762437265,0.9793013247494791,0.35660305265902753,0.3538507960687517,0.39493403548811656
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,0.4423739593909339,0.3980233182495268,0.39947362625287686,0.7272808142009137,0.7662969273021467,0.5702480473373966,0.41955987227092556,1.0,0.40065001330042194,0.5988034551842348,0.3931976981743246,0.4448357007043697,0.3929488344461918,0.4041517582087898,0.4353769651838706,0.44410528589324233,0.41764940262691924,0.6247590628711809,0.4706513659563645,0.3849358102919801,0.9525793444156805,0.46545499675639623,0.43122783459842357,0.41047502701150124
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,0.09586849855788229,0.1995247406393385,0.23853640000968257,0.6541823711961697,0.7925915755547935,0.11207282034997211,0.346215951811533,0.40065001330042194,1.0,0.5290990450359881,0.20378044678912682,0.2408949866841119,0.22369903852155276,0.2799526585926791,0.16556861549628507,0.09765962019318417,0.15086301912031258,0.12761317869855593,0.3567220304659789,0.15551097592206164,0.9716135660902949,0.41466586733135274,0.09920960470496996,0.14752388284905937
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,0.5344917897202655,0.6837594003206959,0.5666569404705297,0.7416029468071348,0.773325517833439,0.5704754865625177,0.5687095528963405,0.5988034551842348,0.5290990450359881,1.0,0.5668212742818034,0.5033395312389308,0.5380733534227082,0.5547451022166333,0.45881927253915583,0.6037145333696599,0.527059385236075,0.5464331443887255,0.5586364659530904,0.5138920995994609,0.9712371426698979,0.5229897059390677,0.590548808840468,0.5554768690855046
