,coef
your_highest_education_level_Graduate ,0.3516
your_highest_education_level_Other,0.0502
your_highest_education_level_Postgraduate,-0.4375
your_highest_education_level_Pursuing UG,-0.0167
your_highest_education_level_Pursuing graduation ,-0.0487
your_highest_education_level_Secondary,-0.1582
your_highest_education_level_Undergraduate,-0.1847
your_current_employment_status_Self-employed,0.2365
your_current_employment_status_Student,0.0283
your_current_employment_status_Unemployed,-0.3496
where_do_you_currently_reside_.,-0.1295
where_do_you_currently_reside_Aggyathuri ,-0.0722
where_do_you_currently_reside_Amingaon,-0.1065
where_do_you_currently_reside_Assam,-0.0226
where_do_you_currently_reside_Assam ,-0.0343
where_do_you_currently_reside_Basistha ,-0.0107
where_do_you_currently_reside_Coimbatore,-0.0075
where_do_you_currently_reside_Currently i live in home,0.266
where_do_you_currently_reside_Delhi,-0.3479
where_do_you_currently_reside_Delhi ,-0.2469
where_do_you_currently_reside_Delhi NCR,-0.0254
where_do_you_currently_reside_Dhubri,-0.0564
where_do_you_currently_reside_Dibrugarh/ Guwahati ,-0.0208
where_do_you_currently_reside_East Delhi,-0.0518
where_do_you_currently_reside_Gadchiroli ,-0.0175
where_do_you_currently_reside_Greater Noida ,-0.0446
where_do_you_currently_reside_Gujarat ,-0.0097
where_do_you_currently_reside_Gurchuk,-0.0402
where_do_you_currently_reside_Gurgaon,-0.0124
"where_do_you_currently_reside_Gurugram, Haryana ",-0.0487
where_do_you_currently_reside_Guwahati,-0.1746
where_do_you_currently_reside_Guwahati ,0.4146
where_do_you_currently_reside_Guwahati Assam ,-0.1222
"where_do_you_currently_reside_Guwahati, Assam",-0.2663
"where_do_you_currently_reside_Guwahati, Assam ",-0.01
"where_do_you_currently_reside_Guwahati, assam ",-0.0124
"where_do_you_currently_reside_Guwahati, hedayetpur P.D.chaliha road ",-0.0128
where_do_you_currently_reside_Haryana ,-0.0135
where_do_you_currently_reside_India,-0.0124
where_do_you_currently_reside_Jaipur ,-0.1636
where_do_you_currently_reside_Jhagrapar ,-0.0385
where_do_you_currently_reside_Madhya Pradesh ,0.3084
"where_do_you_currently_reside_Mehrauli, New Delhi",-0.0204
where_do_you_currently_reside_Na,0.3966
where_do_you_currently_reside_New Delhi ,0.2942
where_do_you_currently_reside_Pub Boragaon ,-0.059
where_do_you_currently_reside_Pune,-0.0063
"where_do_you_currently_reside_Pune, Maharashtra ",-0.0099
where_do_you_currently_reside_Ranchi (Due to University),-0.0167
where_do_you_currently_reside_Rohini,-0.026
where_do_you_currently_reside_Rohini ,-0.0061
"where_do_you_currently_reside_Rohini sector 2,Delhi",-0.0206
"where_do_you_currently_reside_Santipur , Guwahati ",-0.0181
"where_do_you_currently_reside_Santipur, Guwahati ",-0.0089
"where_do_you_currently_reside_Shillong, Meghalaya",-0.0688
where_do_you_currently_reside_Siliguri,-0.0467
where_do_you_currently_reside_Siliguri ,-0.0081
"where_do_you_currently_reside_Sonia Vihar, Delhi -110094",-0.0217
where_do_you_currently_reside_Tamil Nadu,-0.0185
where_do_you_currently_reside_assam,0.3968
where_do_you_currently_reside_delhi,-0.0145
where_do_you_currently_reside_guwahati,-0.0451
please_specify_your_native_place_.,-0.1295
please_specify_your_native_place_6 mile,0.3516
please_specify_your_native_place_Aggyathuri assam,-0.0096
please_specify_your_native_place_Amingaon,-0.1065
please_specify_your_native_place_Assam,-0.0597
please_specify_your_native_place_Assam ,-0.1511
"please_specify_your_native_place_Ayodhya, Uttar Pradesh",-0.0217
please_specify_your_native_place_Barpeta,-0.0156
please_specify_your_native_place_Basistha ,-0.0107
please_specify_your_native_place_Bihar,-0.0129
please_specify_your_native_place_Bihar ,-0.131
please_specify_your_native_place_Chandigarh,-0.0124
please_specify_your_native_place_Changsari,-0.0691
"please_specify_your_native_place_Changsari, North Guwahati ",-0.0408
please_specify_your_native_place_Delhi,-0.1048
please_specify_your_native_place_Delhi ,-0.0704
please_specify_your_native_place_Delhi NCR,-0.0254
please_specify_your_native_place_Dhemaji,-0.0338
"please_specify_your_native_place_Dhubri, Assam ",-0.0089
please_specify_your_native_place_Fatashil ambari,-0.0174
please_specify_your_native_place_Gadchiroli ,-0.0175
please_specify_your_native_place_Gurchuk,-0.0402
"please_specify_your_native_place_Gurugram, Haryana",-0.0487
please_specify_your_native_place_Guwahati,0.2274
please_specify_your_native_place_Guwahati ,-0.1162
please_specify_your_native_place_Guwahati Assam ,-0.1025
"please_specify_your_native_place_Guwahati, Assam",-0.0701
"please_specify_your_native_place_Guwahati, Assam ",-0.0124
"please_specify_your_native_place_Guwahati, Hengerabari ",0.266
please_specify_your_native_place_Hamirpur Uttar Pradesh ,-0.0182
please_specify_your_native_place_Haryana ,-0.0226
please_specify_your_native_place_Howrah,-0.0106
please_specify_your_native_place_Hyderabad ,-0.0061
please_specify_your_native_place_India,-0.0604
please_specify_your_native_place_Jabalpur ,0.3084
please_specify_your_native_place_Kanpur ,-0.0112
"please_specify_your_native_place_Kanpur, Uttar Pradesh",-0.0112
please_specify_your_native_place_Kaushambi UP,-0.0064
please_specify_your_native_place_Kerala,-0.0644
please_specify_your_native_place_Kolkata,-0.0387
please_specify_your_native_place_Kolkata (Home),-0.0167
please_specify_your_native_place_Ludhiana punjab,-0.0145
please_specify_your_native_place_Maligaon,-0.0332
please_specify_your_native_place_Maligaon ,0.24
"please_specify_your_native_place_Mangaldai, Assam",-0.064
"please_specify_your_native_place_Mangaldoi,Darrang",-0.1404
please_specify_your_native_place_Near WTP malviya nagar ,-0.1636
please_specify_your_native_place_New Ashok Nagar,0.2942
please_specify_your_native_place_North ghy ,-0.0255
please_specify_your_native_place_Pub Boragaon ,-0.069
"please_specify_your_native_place_Pune, Maharashtra ",-0.0379
"please_specify_your_native_place_Shillong, Meghalaya",-0.0688
please_specify_your_native_place_Siliguri,-0.0842
please_specify_your_native_place_Tinsukia ,-0.0156
please_specify_your_native_place_Udaipur ,-0.0124
please_specify_your_native_place_Uttrakhand ,-0.0305
please_specify_your_native_place_Yamuna vihar ,-0.0914
please_specify_your_native_place_assam,0.3517
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment,-0.2151
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault",-0.3284
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault, Rape, domestic abuse",-0.0106
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct",-0.217
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Assault",-0.2044
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking",-0.0182
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault",-0.095
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault, ",-0.0266
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking",-0.052
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking, Assault",-0.0189
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct,0.0176
