,coef
your_highest_education_level_Graduate ,0.266
your_highest_education_level_Other,0.2863
your_highest_education_level_Postgraduate,-0.3511
your_highest_education_level_Pursuing UG,0.1438
your_highest_education_level_Pursuing graduation ,0.2188
your_highest_education_level_Secondary,-0.3621
your_highest_education_level_Undergraduate,0.1196
your_current_employment_status_Self-employed,-0.0505
your_current_employment_status_Student,-0.866
your_current_employment_status_Unemployed,-0.201
where_do_you_currently_reside_.,0.1565
where_do_you_currently_reside_Aggyathuri ,0.164
where_do_you_currently_reside_Amingaon,0.1206
where_do_you_currently_reside_Assam,0.2154
where_do_you_currently_reside_Assam ,0.1123
where_do_you_currently_reside_Basistha ,0.0719
where_do_you_currently_reside_Coimbatore,0.1442
where_do_you_currently_reside_Currently i live in home,-0.3033
where_do_you_currently_reside_Delhi,-0.1174
where_do_you_currently_reside_Delhi ,0.2985
where_do_you_currently_reside_Delhi NCR,-0.2515
where_do_you_currently_reside_Dhubri,-0.1359
where_do_you_currently_reside_Dibrugarh/ Guwahati ,-0.2644
where_do_you_currently_reside_East Delhi,0.2038
where_do_you_currently_reside_Gadchiroli ,0.1136
where_do_you_currently_reside_Greater Noida ,-0.1024
where_do_you_currently_reside_Gujarat ,-0.4323
where_do_you_currently_reside_Gurchuk,0.1916
where_do_you_currently_reside_Gurgaon,0.0969
"where_do_you_currently_reside_Gurugram, Haryana ",0.2188
where_do_you_currently_reside_Guwahati,-0.3048
where_do_you_currently_reside_Guwahati ,-0.4426
where_do_you_currently_reside_Guwahati Assam ,0.1887
"where_do_you_currently_reside_Guwahati, Assam",-0.1211
"where_do_you_currently_reside_Guwahati, Assam ",-0.2386
"where_do_you_currently_reside_Guwahati, assam ",0.0734
"where_do_you_currently_reside_Guwahati, hedayetpur P.D.chaliha road ",-0.2243
where_do_you_currently_reside_Haryana ,0.1548
where_do_you_currently_reside_India,0.2374
where_do_you_currently_reside_Jaipur ,0.0899
where_do_you_currently_reside_Jhagrapar ,0.0798
where_do_you_currently_reside_Madhya Pradesh ,-0.1586
"where_do_you_currently_reside_Mehrauli, New Delhi",0.2157
where_do_you_currently_reside_Na,0.1878
where_do_you_currently_reside_New Delhi ,0.1034
where_do_you_currently_reside_Pub Boragaon ,-0.107
where_do_you_currently_reside_Pune,-0.232
"where_do_you_currently_reside_Pune, Maharashtra ",-0.1729
where_do_you_currently_reside_Ranchi (Due to University),0.1438
where_do_you_currently_reside_Rohini,0.2618
where_do_you_currently_reside_Rohini ,-0.29
"where_do_you_currently_reside_Rohini sector 2,Delhi",0.1783
"where_do_you_currently_reside_Santipur , Guwahati ",0.1637
"where_do_you_currently_reside_Santipur, Guwahati ",0.0645
"where_do_you_currently_reside_Shillong, Meghalaya",-0.0804
where_do_you_currently_reside_Siliguri,-0.182
where_do_you_currently_reside_Siliguri ,0.2729
"where_do_you_currently_reside_Sonia Vihar, Delhi -110094",0.1116
where_do_you_currently_reside_Tamil Nadu,-0.2763
where_do_you_currently_reside_assam,-0.2655
where_do_you_currently_reside_delhi,-0.1719
where_do_you_currently_reside_guwahati,0.2129
please_specify_your_native_place_.,0.1565
please_specify_your_native_place_6 mile,0.266
please_specify_your_native_place_Aggyathuri assam,-0.3048
please_specify_your_native_place_Amingaon,0.1206
please_specify_your_native_place_Assam,-0.1485
please_specify_your_native_place_Assam ,0.1739
"please_specify_your_native_place_Ayodhya, Uttar Pradesh",0.1116
please_specify_your_native_place_Barpeta,0.1659
please_specify_your_native_place_Basistha ,0.0719
please_specify_your_native_place_Bihar,0.0925
please_specify_your_native_place_Bihar ,0.0316
please_specify_your_native_place_Chandigarh,0.0969
please_specify_your_native_place_Changsari,-0.3367
"please_specify_your_native_place_Changsari, North Guwahati ",-0.3018
please_specify_your_native_place_Delhi,-0.3188
please_specify_your_native_place_Delhi ,-0.0282
please_specify_your_native_place_Delhi NCR,-0.2515
please_specify_your_native_place_Dhemaji,0.0794
"please_specify_your_native_place_Dhubri, Assam ",0.0645
please_specify_your_native_place_Fatashil ambari,-0.1132
please_specify_your_native_place_Gadchiroli ,0.1136
please_specify_your_native_place_Gurchuk,0.1916
"please_specify_your_native_place_Gurugram, Haryana",0.2188
please_specify_your_native_place_Guwahati,-0.4299
please_specify_your_native_place_Guwahati ,-0.2034
please_specify_your_native_place_Guwahati Assam ,0.0148
"please_specify_your_native_place_Guwahati, Assam",0.3482
