,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,7.125980274094898,inf,0.0,,,
what_gender_do_you_identify_as_Male,1.2665101650801414,inf,0.0,,,
your_highest_education_level_Graduate ,0.35413534951651043,inf,0.0,,,
your_highest_education_level_Other,1.449295235465042,inf,0.0,,,
your_highest_education_level_Postgraduate,3.9217580831492227,inf,0.0,,,
your_highest_education_level_Pursuing UG,0.02139163515344586,inf,0.0,,,
your_highest_education_level_Pursuing graduation ,-0.3028115189185996,inf,-0.0,,,
your_highest_education_level_Secondary,1.130654434584812,inf,0.0,,,
your_highest_education_level_Undergraduate,0.13793252183089152,inf,0.0,,,
your_current_employment_status_Self-employed,0.7362114892814756,inf,0.0,,,
your_current_employment_status_Student,-1.6618553995674124,inf,-0.0,,,
your_current_employment_status_Unemployed,0.006301494985947759,inf,0.0,,,
where_do_you_currently_reside_.,0.22503435801682126,inf,0.0,,,
where_do_you_currently_reside_Aggyathuri ,0.7674807435843132,inf,0.0,,,
where_do_you_currently_reside_Amingaon,-0.36814964931856,inf,-0.0,,,
where_do_you_currently_reside_Assam,0.9454514810020025,inf,0.0,,,
where_do_you_currently_reside_Assam ,-0.2587730362697764,inf,-0.0,,,
where_do_you_currently_reside_Basistha ,-0.3031959821301479,inf,-0.0,,,
where_do_you_currently_reside_Coimbatore,-0.260001775435067,inf,-0.0,,,
where_do_you_currently_reside_Currently i live in home,0.08820137794309246,inf,0.0,,,
where_do_you_currently_reside_Delhi,0.2372645510087159,inf,0.0,,,
where_do_you_currently_reside_Delhi ,3.592145198229187,inf,0.0,,,
where_do_you_currently_reside_Delhi NCR,0.6748782552322636,inf,0.0,,,
where_do_you_currently_reside_Dhubri,-0.9121219413815966,inf,-0.0,,,
where_do_you_currently_reside_Dibrugarh/ Guwahati ,-0.3778270121287806,inf,-0.0,,,
where_do_you_currently_reside_East Delhi,0.448062018068797,inf,0.0,,,
where_do_you_currently_reside_Gadchiroli ,0.8279409443355041,inf,0.0,,,
where_do_you_currently_reside_Greater Noida ,0.4909008442478592,inf,0.0,,,
where_do_you_currently_reside_Gujarat ,0.8455584664003093,inf,0.0,,,
where_do_you_currently_reside_Gurchuk,-0.18943223628794692,inf,-0.0,,,
where_do_you_currently_reside_Gurgaon,1.035044588980016,inf,0.0,,,
"where_do_you_currently_reside_Gurugram, Haryana ",-0.3028115189185988,inf,-0.0,,,
where_do_you_currently_reside_Guwahati,-0.46146311132585127,inf,-0.0,,,
where_do_you_currently_reside_Guwahati ,1.0647720766907383,inf,0.0,,,
where_do_you_currently_reside_Guwahati Assam ,-0.01724266539807104,inf,-0.0,,,
"where_do_you_currently_reside_Guwahati, Assam",-0.8023450206377317,inf,-0.0,,,
"where_do_you_currently_reside_Guwahati, Assam ",-0.4983879295288864,inf,-0.0,,,
"where_do_you_currently_reside_Guwahati, assam ",0.3607703044190133,inf,0.0,,,
"where_do_you_currently_reside_Guwahati, hedayetpur P.D.chaliha road ",-0.9498784195492948,inf,-0.0,,,
where_do_you_currently_reside_Haryana ,-0.7572814999729897,inf,-0.0,,,
where_do_you_currently_reside_India,1.348448094600539,inf,0.0,,,
where_do_you_currently_reside_Jaipur ,-0.5140289418647298,inf,-0.0,,,
where_do_you_currently_reside_Jhagrapar ,1.2471316331728197,inf,0.0,,,
where_do_you_currently_reside_Madhya Pradesh ,-0.5346484410440276,inf,-0.0,,,
"where_do_you_currently_reside_Mehrauli, New Delhi",-0.7349597855687703,inf,-0.0,,,
where_do_you_currently_reside_Na,1.0784976210278514,inf,0.0,,,
where_do_you_currently_reside_New Delhi ,-0.5566384025595607,inf,-0.0,,,
where_do_you_currently_reside_Pub Boragaon ,-0.10848411505674282,inf,-0.0,,,
where_do_you_currently_reside_Pune,-0.4838180394635168,inf,-0.0,,,
"where_do_you_currently_reside_Pune, Maharashtra ",0.5934089418045008,inf,0.0,,,
where_do_you_currently_reside_Ranchi (Due to University),0.021391635153447774,inf,0.0,,,
where_do_you_currently_reside_Rohini,-0.45880688496289823,inf,-0.0,,,
where_do_you_currently_reside_Rohini ,-0.25865126202633204,inf,-0.0,,,
"where_do_you_currently_reside_Rohini sector 2,Delhi",0.5674565567333714,inf,0.0,,,
"where_do_you_currently_reside_Santipur , Guwahati ",-0.709814260796448,inf,-0.0,,,
"where_do_you_currently_reside_Santipur, Guwahati ",-0.3537938645082481,inf,-0.0,,,
"where_do_you_currently_reside_Shillong, Meghalaya",-0.44099549154452666,inf,-0.0,,,
where_do_you_currently_reside_Siliguri,2.1345167351185514,inf,0.0,,,
where_do_you_currently_reside_Siliguri ,0.3577966147172852,inf,0.0,,,
"where_do_you_currently_reside_Sonia Vihar, Delhi -110094",0.47718284347830753,inf,0.0,,,
where_do_you_currently_reside_Tamil Nadu,0.06076529952379611,inf,0.0,,,
where_do_you_currently_reside_assam,1.36170826169625,inf,0.0,,,
where_do_you_currently_reside_delhi,-0.4260139006308933,inf,-0.0,,,
where_do_you_currently_reside_guwahati,-0.4287275363708883,inf,-0.0,,,
please_specify_your_native_place_.,0.2250343580168201,inf,0.0,,,
please_specify_your_native_place_6 mile,0.3541353495165118,inf,0.0,,,
please_specify_your_native_place_Aggyathuri assam,0.7174982805151796,inf,0.0,,,
please_specify_your_native_place_Amingaon,-0.3681496493185563,inf,-0.0,,,
please_specify_your_native_place_Assam,-0.25152837069833067,inf,-0.0,,,
please_specify_your_native_place_Assam ,0.9996085515623966,inf,0.0,,,
"please_specify_your_native_place_Ayodhya, Uttar Pradesh",0.4771828434783073,inf,0.0,,,
please_specify_your_native_place_Barpeta,-0.6235180954916074,inf,-0.0,,,
please_specify_your_native_place_Basistha ,-0.3031959821301466,inf,-0.0,,,
please_specify_your_native_place_Bihar,-1.091971707965358,inf,-0.0,,,
please_specify_your_native_place_Bihar ,0.5862494882459268,inf,0.0,,,
please_specify_your_native_place_Chandigarh,1.0350445889800162,inf,0.0,,,
please_specify_your_native_place_Changsari,-0.2868091375812253,inf,-0.0,,,
"please_specify_your_native_place_Changsari, North Guwahati ",-0.28860384588998533,inf,-0.0,,,
please_specify_your_native_place_Delhi,0.8919053008005696,inf,0.0,,,
please_specify_your_native_place_Delhi ,3.0095956751224513,inf,0.0,,,
please_specify_your_native_place_Delhi NCR,0.674878255232266,inf,0.0,,,
please_specify_your_native_place_Dhemaji,0.4365431075028333,inf,0.0,,,
"please_specify_your_native_place_Dhubri, Assam ",-0.3537938645082468,inf,-0.0,,,
please_specify_your_native_place_Fatashil ambari,-1.2922465634077724,inf,-0.0,,,
please_specify_your_native_place_Gadchiroli ,0.8279409443355038,inf,0.0,,,
