,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
what_gender_do_you_identify_as_Male,0.0022,-0.0263,-0.045,0.0245,-0.0,0.0429,0.0341,-0.0933,-0.1071,0.1385
your_highest_education_level_Graduate ,0.0004,0.0013,0.0384,-0.0874,0.0187,0.0196,0.0885,-0.0774,0.1731,0.0568
your_highest_education_level_Other,0.1223,-0.0495,0.0396,-0.0229,0.1084,0.0263,0.0292,-0.0005,-0.0687,-0.0282
your_highest_education_level_Postgraduate,-0.0757,-0.0774,-0.0648,0.0233,0.1906,-0.0604,-0.1059,0.0953,0.0178,-0.0917
your_highest_education_level_Pursuing UG,-0.0346,-0.006,-0.0737,-0.0058,-0.0276,0.2454,0.0116,0.0474,0.0107,-0.0981
your_highest_education_level_Pursuing graduation ,-0.0202,-0.0362,0.1222,0.291,0.0035,0.0709,0.0566,-0.0088,0.0602,0.0746
your_highest_education_level_Secondary,0.0238,-0.0227,-0.0631,0.0266,-0.0826,-0.0407,-0.0908,-0.0727,0.028,0.0069
your_highest_education_level_Undergraduate,0.0369,0.1059,0.0615,-0.0621,-0.1669,0.0103,0.1024,-0.0398,-0.0603,0.0927
your_current_employment_status_Self-employed,0.0861,-0.0614,-0.0324,-0.0253,0.006,-0.0017,0.0118,0.0089,-0.0272,-0.0126
your_current_employment_status_Student,-0.0433,0.1227,0.0901,-0.0233,-0.0615,0.1599,-0.0418,0.0732,0.0299,0.0377
your_current_employment_status_Unemployed,-0.0031,-0.0372,-0.0361,0.0224,-0.0618,-0.1102,0.085,-0.053,0.0221,0.0352
where_do_you_currently_reside_.,0.0731,-0.0239,0.0493,-0.0269,0.1041,0.0139,0.0395,-0.0065,-0.0918,-0.0423
where_do_you_currently_reside_Aggyathuri ,0.0802,0.1615,-0.0705,0.0468,0.0443,0.0455,0.0336,-0.0078,-0.056,0.0798
where_do_you_currently_reside_Amingaon,0.0519,0.0116,0.0697,-0.0511,0.0035,-0.0081,0.0341,0.1447,0.0358,0.1822
where_do_you_currently_reside_Assam,0.0702,-0.0009,-0.028,0.0207,-0.0485,0.0068,-0.057,0.0015,-0.041,-0.0054
where_do_you_currently_reside_Assam ,0.0301,0.0297,-0.0118,0.0137,0.0268,-0.0075,-0.0257,-0.0954,-0.0227,0.0474
where_do_you_currently_reside_Basistha ,-0.022,-0.0457,-0.0456,0.013,-0.0574,-0.069,0.1282,-0.0013,-0.0587,0.1267
where_do_you_currently_reside_Coimbatore,-0.031,-0.008,-0.0026,0.0127,0.0546,-0.0632,-0.0575,-0.0709,-0.0019,-0.0048
where_do_you_currently_reside_Currently i live in home,0.0362,-0.0081,0.096,-0.0771,-0.0108,0.0565,0.1345,-0.0221,-0.0469,-0.0984
where_do_you_currently_reside_Delhi,-0.0625,-0.0151,-0.0046,0.0386,0.0744,-0.0138,-0.0595,0.03,-0.0695,-0.0553
where_do_you_currently_reside_Delhi ,0.0219,0.021,0.037,-0.0297,-0.0413,-0.0302,-0.0032,-0.0986,-0.0214,-0.0533
where_do_you_currently_reside_Delhi NCR,0.0105,-0.0015,0.0482,0.039,0.0173,-0.0176,0.0189,0.0396,-0.0156,0.0041
where_do_you_currently_reside_Dhubri,-0.0135,-0.0016,0.0409,0.0166,-0.0437,0.0068,0.0081,-0.0036,-0.0103,-0.0538
where_do_you_currently_reside_Dibrugarh/ Guwahati ,-0.0195,-0.002,-0.0104,0.0018,0.0149,0.0097,-0.0078,-0.0102,0.0344,0.0077
where_do_you_currently_reside_East Delhi,0.0106,0.0068,0.0386,-0.0115,-0.0073,-0.0082,-0.0027,-0.0317,-0.0349,-0.0456
where_do_you_currently_reside_Gadchiroli ,-0.0564,-0.0153,-0.0466,-0.0147,0.135,-0.0788,0.0804,-0.1456,0.1032,0.0228
where_do_you_currently_reside_Greater Noida ,0.0041,0.018,0.0359,0.0293,0.0048,-0.0091,0.0134,-0.0074,-0.0022,-0.0004
where_do_you_currently_reside_Gujarat ,-0.0484,-0.0009,-0.006,-0.0074,0.0268,0.0289,0.0042,0.007,-0.0242,0.0048
where_do_you_currently_reside_Gurchuk,-0.012,0.0181,0.0212,-0.0402,-0.0208,0.0232,-0.0084,-0.0366,-0.0278,0.0069
where_do_you_currently_reside_Gurgaon,-0.0439,0.0063,-0.0193,-0.0182,0.0837,-0.0339,0.0107,0.052,-0.0041,-0.0173
"where_do_you_currently_reside_Gurugram, Haryana ",-0.0202,-0.0362,0.1222,0.291,0.0035,0.0709,0.0566,-0.0088,0.0602,0.0746
where_do_you_currently_reside_Guwahati,0.0003,-0.0328,-0.0527,-0.0067,-0.0789,-0.0371,-0.0463,0.0686,0.0658,-0.0071
where_do_you_currently_reside_Guwahati ,0.0037,0.005,0.0639,-0.0852,-0.034,0.0083,0.0407,-0.0444,0.1239,0.0703
where_do_you_currently_reside_Guwahati Assam ,0.0227,-0.0141,-0.0362,-0.0022,-0.0684,0.0044,-0.0108,-0.0348,0.0142,-0.0259
"where_do_you_currently_reside_Guwahati, Assam",0.018,-0.0067,0.005,-0.0219,-0.0918,-0.0029,0.0515,-0.0192,-0.019,0.0341
