,importance
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Neutral,0.0464
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, ",0.0406
where_do_you_currently_reside_assam,0.0339
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns,0.0318
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Others,0.0313
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Don't know ,0.0288
where_do_you_currently_reside_Currently i live in home,0.0258
where_do_you_currently_reside_New Delhi ,0.0216
please_specify_your_native_place_New Ashok Nagar,0.0208
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear, Sexual education at schools.",0.02
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Can be more efficient towards the situation of that particular individual,0.0199
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Mmmmm,0.0199
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_To support male survivors, legal reforms should include amendments to existing laws to remove gender-specific language and ensure equal protection. Additionally, laws should provide for increased funding and resources for services specifically supporting male survivors.",0.0189
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Na,0.018
please_specify_your_native_place_6 mile,0.0178
where_do_you_currently_reside_Na,0.0177
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame",0.0176
men_who_report_sexual_abuse_are_not_taken_seriously_Disagree,0.0173
please_specify_your_native_place_Jabalpur ,0.0166
please_specify_your_native_place_Maligaon ,0.0166
fear_of_social_judgment_stops_male_victims_from_coming_forward_Neutral,0.0163
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Law,0.0162
your_current_employment_status_Self-employed,0.0155
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Neutral,0.0154
your_highest_education_level_Graduate ,0.0153
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Neutral,0.0139
where_do_you_currently_reside_Guwahati ,0.0133
where_do_you_currently_reside_Madhya Pradesh ,0.0132
"please_specify_your_native_place_Guwahati, Hengerabari ",0.0125
please_specify_your_native_place_assam,0.012
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_We should make legal supports for men security ,0.0118
your_highest_education_level_Other,0.0118
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Yes,0.0113
please_specify_your_native_place_Guwahati,0.0105
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_●addition of new clause to the Indian law
●spread awareness 
●provide counselling and support ",0.0105
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Neutral,0.0104
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.0096
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly agree,0.0094
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Disagree,0.0088
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame",0.0082
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Others",0.0081
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Not Sure,0.008
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame,0.0079
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Yes,0.0079
men_who_report_sexual_abuse_are_not_taken_seriously_Neutral,0.0078
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases,0.0072
