,importance
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Movies/TV Shows",0.0276
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Neutral,0.0202
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly agree,0.019
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.0171
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Fear of being mocked or disbelieved",0.0167
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.0166
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Disagree,0.0158
your_highest_education_level_Postgraduate,0.0125
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Providing more psychological support for male survivors",0.0121
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows",0.0115
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Not sure,0.0114
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly disagree,0.0106
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame",0.0098
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Yes,0.0098
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly agree,0.0096
men_who_report_sexual_abuse_are_not_taken_seriously_Neutral,0.0095
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly disagree,0.0094
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly agree,0.0093
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.009
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media",0.0089
your_current_employment_status_Student,0.0087
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking",0.0087
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment,0.0086
please_specify_your_native_place_Assam,0.0086
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, ",0.0085
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Yes,0.0083
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame, Fear of being mocked or disbelieved",0.0083
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly agree,0.0083
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly disagree,0.0083
please_specify_your_native_place_Guwahati,0.0083
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Disagree,0.0082
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly agree,0.0077
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame, Fear of being mocked or disbelieved",0.0074
your_highest_education_level_Secondary,0.0071
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Stalking,0.0068
your_highest_education_level_Undergraduate,0.0068
please_specify_your_native_place_Pub Boragaon ,0.0067
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",0.0067
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Yes,0.0066
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media,0.0064
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Disagree,0.0063
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault",0.0062
where_do_you_currently_reside_Guwahati ,0.0062
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",0.0062
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Assault",0.006
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking, Assault",0.0058
fear_of_social_judgment_stops_male_victims_from_coming_forward_Neutral,0.0058
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Yes,0.0057
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Not Sure,0.0057
